index,English,Spanish
1,the,el/la/los/las
2,be,ser/estar
3,to,a
4,of,de
5,and,y
6,a,un/una
7,in,en
8,that,que
9,have,tener/haber
10,I,yo
11,it,ello/eso/esto
12,for,para/por
13,not,no
14,on,en/sobre
15,with,con
16,he,él
17,as,como
18,you,tú/usted
19,do,hacer
20,at,en/a
21,this,este/esta
22,but,pero
23,his,su (de él)
24,by,por/cerca de
25,from,desde/de
26,they,ellos/ellas
27,we,nosotros/as
28,say,decir
29,her,su (de ella)/la
30,she,ella
31,or,o
32,an,un/una
33,will,will (futuro)/voluntad
34,my,mi/mis
35,one,uno/una
36,all,todo/toda
37,would,condicional de will
38,there,hay/allí
39,their,su/sus (de ellos)
40,what,qué
41,so,tan/así
42,up,arriba
43,out,fuera
44,if,si
45,about,sobre/acerca de
46,who,quién
47,get,obtener/conseguir
48,which,que/cual
49,go,ir
50,me,me/mí
51,when,cuando
52,make,hacer
53,can,poder
54,like,como/gustar
55,time,tiempo/vez
56,no,no
57,just,solo/simplemente
58,him,lo/le (a él)
59,know,saber/conocer
60,take,tomar/llevar
61,people,gente/personas
62,into,en/entro
63,year,año
64,your,tu/tus
65,good,bueno/bien
66,some,algunos/algunas
67,could,podría
68,them,los/las/les
69,see,ver
70,other,otro/otra
71,than,que (comparación)
72,then,entonces
73,now,ahora
74,look,mirar/parecer
75,only,solo/único
76,come,venir
77,its,su (de ello)
78,over,sobre/terminado
79,think,pensar
80,also,también
81,back,atrás/espalda
82,after,después
83,use,usar/uso
84,two,dos
85,how,cómo
86,our,nuestro/a
87,work,trabajo/trabajar
88,first,primero/primera
89,well,bien
90,way,manera/camino
91,even,incluso
92,new,nuevo/nueva
93,want,querer
94,because,porque
95,any,algún/ningún
96,these,estos/estas
97,give,dar
98,day,día
99,most,más/la mayoría
100,us,nos/nuestro
101,is,es/está
102,are,son/están
103,was,era/estuvo
104,were,eran/estuvieron
105,had,tenía/había
106,has,tiene/ha
107,did,hizo
108,does,hace
109,said,dijo
110,more,más
111,very,muy
112,much,mucho
113,where,dónde
114,here,aquí
115,should,debería
116,may,puede/quizá
117,must,debe
118,these,estos
119,those,esos/aquellos
120,man,hombre
121,woman,mujer
122,child,niño/niña
123,life,vida
124,world,mundo
125,school,escuela
126,state,estado
127,family,familia
128,house,casa
129,place,lugar
130,thing,cosa
131,point,punto
132,help,ayuda/ayudar
133,home,hogar/casa
134,hand,mano
115,part,parte
116,group,grupo
117,problem,problema
118,fact,hecho
119,eye,ojo
120,head,cabeza
121,information,información
122,question,pregunta
123,idea,idea
124,friend,amigo/amiga
125,important,importante
126,number,número
117,change,cambio/cambiar
118,city,ciudad
119,find,encontrar
120,water,agua
121,call,llamar
122,become,convertirse
123,leave,dejar/salir
124,put,poner
125,mean,significar/medio
126,keep,mantener
127,let,dejar/permitir
128,begin,comenzar
129,seem,parecer
130,help,ayudar
131,talk,hablar
132,turn,turno/girar
133,start,empezar
134,might,podría
135,story,historia
136,fact,hecho
137,month,mes
138,later,más tarde
139,while,mientras
140,between,entre
141,again,otra vez
142,never,nunca
143,often,a menudo
144,always,siempre
145,together,juntos
146,already,ya
147,ever,alguna vez
148,almost,casi
149,enough,suficiente
150,yet,aún/sin embargo
